file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af,note
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,5,50,60,92,52.22222222222223,109.13186813186813,54.0,136.0,626.0232373281392,441.1764705882353,1111.111111111111,252.94059215250894,33.66178472564624,39.1587935349279,39.37227330392038,29.0,32.22222222222222,27.0,30.0,0.0,0.0,,,,,27.840401443932176,38.65838491317092,0.720164629393168,1.3885713893538891,4.236039181865063,3381.1860764365297,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,6,60,70,88,44.18604651162791,113.34482758620689,50.0,137.0,598.7255358346619,437.95620437956205,1200.0,246.4474686710486,32.70226063809689,38.93360478295516,39.15502354325752,26.0,30.23255813953488,25.0,29.069767441860467,0.0,0.0,,,,,27.686782664956308,37.03451730421532,0.7475939928560905,1.337624445294997,4.214999162833747,3221.284277395428,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,7,70,80,81,30.37974683544304,123.025,54.0,138.0,531.3753365110057,434.7826086956522,1111.111111111111,201.17068203123378,27.35142835230717,30.704594963925743,30.900789829290805,15.0,18.9873417721519,14.0,17.72151898734177,0.0,0.0,,,,,21.850158032311825,32.15441686387565,0.6795383080593106,1.4715873824036412,4.050815202876029,2207.217307434961,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,8,80,90,74,20.833333333333336,136.32876712328766,131.0,139.0,440.23258949850396,431.6546762589928,458.01526717557255,7.400092629542033,2.2426100525488146,3.2617309651301545,3.2846205860595523,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.3225774900276415,1.998728077556453,1.1620277496011917,0.8605646468797327,1.8708439086336264,14.583904060518101,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,9,90,100,72,20.0,137.50704225352112,131.0,141.0,436.45934012204947,425.531914893617,458.01526717557255,7.304737571873276,2.254349696771109,3.1577568892219317,3.1793849425378555,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.2481646528709187,2.21943234120445,1.0129457929998786,0.9872196586536589,1.9021900081356298,15.675445707185455,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,10,100,110,72,18.571428571428573,139.16901408450704,133.0,142.0,431.2422803904469,422.53521126760563,451.1278195488722,7.081128734182147,2.229579816230325,3.2138094885309285,3.2367263578387258,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.2887111564729987,2.1837201149352166,1.0480789826588637,0.9541265654074157,1.9029079438147507,15.701380342239705,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,11,110,120,73,15.492957746478872,137.875,54.0,142.0,442.49135849823654,422.53521126760563,1111.111111111111,86.50443211821285,12.072477720412623,12.6005812519631,12.69025830846692,3.0,4.225352112676056,2.0,2.8169014084507045,0.0,0.0,,,,,8.973367704925884,14.660332605799773,0.6120848650716104,1.6337603771382352,3.3232192704714474,413.28454081504015,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,12,120,130,72,18.571428571428573,137.28169014084506,53.0,142.0,444.6177342868177,422.53521126760563,1132.0754716981132,88.8330861305276,12.124571389881373,12.787270455976353,12.879084107707977,3.0,4.285714285714286,2.0,2.857142857142857,0.0,0.0,,,,,9.106887708032206,14.658217969359951,0.6212820499100449,1.6095749106944093,3.3295711396342345,419.3735439613207,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,13,130,140,74,18.055555555555554,136.0958904109589,56.0,142.0,448.13678908866126,422.53521126760563,1071.4285714285713,84.1832732014712,12.137138120891647,12.960945610221158,13.051533526239034,3.0,4.166666666666666,2.0,2.7777777777777777,0.0,0.0,,,,,9.228827861287193,14.602877581022254,0.6319869361420164,1.5823111884314107,3.3337049725779155,423.38441036320876,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,14,140,150,78,22.36842105263158,127.76623376623377,54.0,140.0,501.6232377470589,428.57142857142856,1111.111111111111,173.6110820542722,24.168757618863474,25.9414827316364,26.113823051900404,13.0,17.105263157894736,10.0,13.157894736842104,0.0,0.0,,,,,18.465261362704357,28.987031280490594,0.6370180231299575,1.5698142967549773,3.932679180990242,1681.547234175733,False,
